epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0179,1.72107,2.2602,1.11797,0.6014,0.10693,0.08241,0.04016,2.42401,2.18918,1.12881,0.000184705,0.000184705,0.000184705
2,83.9247,1.45082,1.16699,1.02137,0.47242,0.12431,0.10405,0.05207,1.97819,1.93908,1.02308,0.000362712,0.000362712,0.000362712
3,126.692,1.35464,1.01594,1.00285,0.34438,0.17946,0.12225,0.06802,1.91662,2.08831,1.02815,0.000533379,0.000533379,0.000533379
4,170.009,1.29913,0.92404,0.98253,0.38808,0.15384,0.15592,0.08222,2.02619,2.18431,1.05766,0.000522974,0.000522974,0.000522974
5,212.656,1.25977,0.88307,0.97657,0.22432,0.24488,0.16246,0.09003,1.96512,2.19447,1.03659,0.000511965,0.000511965,0.000511965
6,255.864,1.22195,0.83435,0.96413,0.2769,0.20772,0.17466,0.09367,1.98093,2.11843,1.03813,0.000500956,0.000500956,0.000500956
7,298.509,1.1925,0.80953,0.95914,0.22004,0.2542,0.19253,0.11276,1.97459,2.18847,1.04049,0.000489947,0.000489947,0.000489947
8,340.545,1.16605,0.77796,0.9512,0.54507,0.19958,0.2223,0.12736,1.91663,2.13505,1.04481,0.000478938,0.000478938,0.000478938
9,383.243,1.15868,0.77168,0.95286,0.51683,0.21778,0.21714,0.12506,1.94551,2.31105,1.03481,0.00046793,0.00046793,0.00046793
10,424.762,1.12979,0.74572,0.94553,0.54354,0.22531,0.22495,0.13554,1.92863,2.09417,1.01566,0.000456921,0.000456921,0.000456921
11,466.192,1.12395,0.73974,0.94432,0.48254,0.21976,0.22539,0.1357,1.98567,2.12956,1.05417,0.000445912,0.000445912,0.000445912
12,507.93,1.10564,0.73034,0.94244,0.4921,0.23205,0.21778,0.12301,1.97413,2.07813,1.04748,0.000434903,0.000434903,0.000434903
13,550.315,1.10609,0.71904,0.94218,0.55303,0.23569,0.23195,0.1372,1.92404,2.15495,1.03319,0.000423894,0.000423894,0.000423894
14,592.771,1.08621,0.69307,0.93401,0.49012,0.23821,0.23205,0.13552,1.97676,2.43501,1.04067,0.000412886,0.000412886,0.000412886
15,635.621,1.06419,0.67908,0.92733,0.46544,0.22513,0.20234,0.12093,2.01493,2.26048,1.04963,0.000401877,0.000401877,0.000401877
16,677.088,1.07606,0.68848,0.93011,0.49289,0.24101,0.24402,0.1449,1.97755,2.13449,1.04584,0.000390868,0.000390868,0.000390868
17,718.342,1.04976,0.67019,0.92417,0.50134,0.22099,0.2233,0.12715,1.98892,2.39576,1.03137,0.000379859,0.000379859,0.000379859
18,760.262,1.03769,0.66174,0.92556,0.51751,0.21834,0.22193,0.12726,1.99915,2.25644,1.04925,0.00036885,0.00036885,0.00036885
